period_beginning,period_ending,reporting_period,transport_mode,journey_millions
2019-02-03,2019-03-02,12,Bus,171.30
2019-03-03,2019-03-31,13,Bus,182.70
2019-04-01,2019-04-27,1,Bus,156.60
2019-04-28,2019-05-25,2,Bus,175.20
2019-05-26,2019-06-22,3,Bus,171.40
2019-06-23,2019-07-20,4,Bus,177.00
2019-07-21,2019-08-17,5,Bus,149.80
2019-08-18,2019-09-14,6,Bus,159.80
2019-09-15,2019-10-12,7,Bus,179.30
2019-10-13,2019-11-09,8,Bus,168.90
2019-11-10,2019-12-07,9,Bus,176.20
2019-12-08,2020-01-04,10,Bus,141.00
2020-01-05,2020-02-01,11,Bus,169.40
2020-02-02,2020-02-29,12,Bus,165.20
2020-03-01,2020-03-31,13,Bus,126.40
2020-04-01,2020-05-02,1,Bus,30.20
2020-05-03,2020-05-30,2,Bus,32.50
2020-05-31,2020-06-27,3,Bus,47.00
2020-06-28,2020-07-25,4,Bus,66.70
2020-07-26,2020-08-22,5,Bus,75.20
2020-08-23,2020-09-19,6,Bus,94.80
2020-09-20,2020-10-17,7,Bus,102.10
2020-10-18,2020-11-14,8,Bus,89.00
2010-04-01,2010-05-01,1,Underground,90.50
2010-05-02,2010-05-29,2,Underground,84.50
2010-05-30,2010-06-26,3,Underground,84.30
2010-06-27,2010-07-24,4,Underground,86.50
2010-07-25,2010-08-21,5,Underground,82.90
2010-08-22,2010-09-18,6,Underground,80.90
2010-09-19,2010-10-16,7,Underground,88.70
2010-10-17,2010-11-13,8,Underground,90.30
2010-11-14,2010-12-11,9,Underground,90.60
2010-12-12,2011-01-08,10,Underground,72.50
2011-01-09,2011-02-05,11,Underground,84.40
2011-02-06,2011-03-05,12,Underground,87.80
2011-03-06,2011-03-31,13,Underground,83.50
2011-04-01,2011-04-30,1,Underground,91.20
2011-05-01,2011-05-28,2,Underground,87.80
2011-05-29,2011-06-25,3,Underground,88.90
2011-06-26,2011-07-23,4,Underground,92.50
2011-07-24,2011-08-20,5,Underground,85.50
2011-08-21,2011-09-17,6,Underground,85.30
2011-09-18,2011-10-15,7,Underground,93.10
2011-10-16,2011-11-12,8,Underground,95.80
2011-11-13,2011-12-10,9,Underground,97.10
2011-12-11,2012-01-07,10,Underground,79.30
2012-01-08,2012-02-04,11,Underground,89.80
2012-02-05,2012-03-03,12,Underground,91.50
2012-03-04,2012-03-31,13,Underground,92.70
2012-04-01,2012-04-28,1,Underground,88.70
2012-04-29,2012-05-26,2,Underground,92.60
2012-05-27,2012-06-23,3,Underground,89.70
2012-06-24,2012-07-21,4,Underground,96.90
2012-07-22,2012-08-18,5,Underground,103.00
2012-08-19,2012-09-15,6,Underground,94.00
2012-09-16,2012-10-13,7,Underground,98.20
2012-10-14,2012-11-10,8,Underground,100.40
2012-11-11,2012-12-08,9,Underground,101.90
2012-12-09,2013-01-05,10,Underground,79.00
2013-01-06,2013-02-02,11,Underground,91.70
2013-02-03,2013-03-02,12,Underground,96.70
2013-03-03,2013-03-31,13,Underground,96.60
2013-04-01,2013-04-27,1,Underground,92.10
2013-04-28,2013-05-25,2,Underground,97.20
2013-05-26,2013-06-22,3,Underground,95.90
2013-06-23,2013-07-20,4,Underground,100.80
2013-07-21,2013-08-17,5,Underground,94.10
2013-08-18,2013-09-14,6,Underground,91.00
2013-09-15,2013-10-12,7,Underground,101.40
2013-10-13,2013-11-09,8,Underground,103.70
2013-11-10,2013-12-07,9,Underground,106.30
2013-12-08,2014-01-04,10,Underground,83.90
2014-01-05,2014-02-01,11,Underground,96.80
2014-02-02,2014-03-01,12,Underground,94.30
2014-03-02,2014-03-31,13,Underground,107.00
2014-04-01,2014-04-26,1,Underground,88.80
2014-04-27,2014-05-24,2,Underground,92.20
2014-05-25,2014-06-21,3,Underground,98.20
2014-06-22,2014-07-19,4,Underground,102.60
2014-07-20,2014-08-16,5,Underground,97.30
2014-08-17,2014-09-13,6,Underground,93.20
2014-09-14,2014-10-11,7,Underground,104.10
2014-10-12,2014-11-08,8,Underground,108.60
2014-11-09,2014-12-06,9,Underground,111.20
2014-12-07,2015-01-03,10,Underground,87.00
2015-01-04,2015-01-31,11,Underground,100.20
2015-02-01,2015-02-28,12,Underground,105.70
2015-03-01,2015-03-31,13,Underground,116.30
2015-04-01,2015-05-02,1,Underground,113.60
2015-05-03,2015-05-30,2,Underground,102.00
2015-05-31,2015-06-27,3,Underground,105.90
2015-06-28,2015-07-25,4,Underground,101.30
2015-07-26,2015-08-22,5,Underground,94.60
2015-08-23,2015-09-19,6,Underground,97.60
2015-09-20,2015-10-17,7,Underground,111.70
2015-10-18,2015-11-14,8,Underground,112.70
2015-11-15,2015-12-12,9,Underground,114.00
2015-12-13,2016-01-09,10,Underground,85.40
2016-01-10,2016-02-06,11,Underground,106.80
2016-02-07,2016-03-05,12,Underground,109.30
2016-03-06,2016-03-31,13,Underground,94.50
2016-04-01,2016-04-30,1,Underground,114.20
2016-05-01,2016-05-28,2,Underground,105.70
2016-05-29,2016-06-25,3,Underground,104.20
2016-06-26,2016-07-23,4,Underground,109.10
2016-07-24,2016-08-20,5,Underground,101.10
2016-08-21,2016-09-17,6,Underground,98.80
2016-09-18,2016-10-15,7,Underground,110.40
2016-10-16,2016-11-12,8,Underground,112.60
2016-11-13,2016-12-10,9,Underground,116.70
2016-12-11,2017-01-07,10,Underground,89.00
2017-01-08,2017-02-04,11,Underground,101.90
2017-02-05,2017-03-04,12,Underground,108.30
2017-03-05,2017-03-31,13,Underground,106.00
2017-04-01,2017-04-29,1,Underground,104.60
2017-04-30,2017-05-27,2,Underground,106.10
2017-05-28,2017-06-24,3,Underground,101.60
2017-06-25,2017-07-22,4,Underground,109.00
2017-07-23,2017-08-19,5,Underground,101.00
2017-08-20,2017-09-16,6,Underground,96.40
2017-09-17,2017-10-14,7,Underground,108.60
2017-10-15,2017-11-11,8,Underground,110.60
2017-11-12,2017-12-09,9,Underground,115.10
2017-12-10,2018-01-06,10,Underground,87.70
2018-01-07,2018-02-03,11,Underground,105.50
2018-02-04,2018-03-03,12,Underground,105.30
2018-03-04,2018-03-31,13,Underground,105.30
2018-04-01,2018-04-28,1,Underground,103.50
2018-04-29,2018-05-26,2,Underground,105.60
2018-05-27,2018-06-23,3,Underground,104.40
2018-06-24,2018-07-21,4,Underground,109.00
2018-07-22,2018-08-18,5,Underground,100.40
2018-08-19,2018-09-15,6,Underground,97.50
2018-09-16,2018-10-13,7,Underground,109.90
2018-10-14,2018-11-10,8,Underground,112.70
2018-11-11,2018-12-08,9,Underground,118.20
2018-12-09,2019-01-05,10,Underground,91.90
2019-01-06,2019-02-02,11,Underground,106.70
2019-02-03,2019-03-02,12,Underground,110.80
2019-03-03,2019-03-31,13,Underground,114.10
2019-04-01,2019-04-27,1,Underground,101.20
2019-04-28,2019-05-25,2,Underground,106.10
2019-05-26,2019-06-22,3,Underground,108.00
2019-06-23,2019-07-20,4,Underground,111.70
2019-07-21,2019-08-17,5,Underground,103.00
