period_beginning,period_ending,reporting_period,transport_mode,journey_millions
2012-02-05,2012-03-03,12,Overground,8.80
2012-03-04,2012-03-31,13,Overground,9.10
2012-04-01,2012-04-28,1,Overground,8.50
2012-04-29,2012-05-26,2,Overground,8.90
2012-05-27,2012-06-23,3,Overground,8.60
2012-06-24,2012-07-21,4,Overground,8.90
2012-07-22,2012-08-18,5,Overground,10.50
2012-08-19,2012-09-15,6,Overground,9.80
2012-09-16,2012-10-13,7,Overground,9.70
2012-10-14,2012-11-10,8,Overground,9.80
2012-11-11,2012-12-08,9,Overground,10.00
2012-12-09,2013-01-05,10,Overground,8.20
2013-01-06,2013-02-02,11,Overground,10.20
2013-02-03,2013-03-02,12,Overground,10.70
2013-03-03,2013-03-31,13,Overground,10.80
2013-04-01,2013-04-27,1,Overground,10.30
2013-04-28,2013-05-25,2,Overground,10.30
2013-05-26,2013-06-22,3,Overground,10.90
2013-06-23,2013-07-20,4,Overground,11.30
2013-07-21,2013-08-17,5,Overground,10.60
2013-08-18,2013-09-14,6,Overground,10.40
2013-09-15,2013-10-12,7,Overground,11.20
2013-10-13,2013-11-09,8,Overground,9.60
2013-11-10,2013-12-07,9,Overground,10.60
2013-12-08,2014-01-04,10,Overground,8.10
2014-01-05,2014-02-01,11,Overground,10.30
2014-02-02,2014-03-01,12,Overground,10.80
2014-03-02,2014-03-31,13,Overground,11.30
2014-04-01,2014-04-26,1,Overground,9.70
2014-04-27,2014-05-24,2,Overground,10.50
2014-05-25,2014-06-21,3,Overground,10.50
2014-06-22,2014-07-19,4,Overground,10.80
2014-07-20,2014-08-16,5,Overground,10.60
2014-08-17,2014-09-13,6,Overground,10.80
2014-09-14,2014-10-11,7,Overground,10.80
2014-10-12,2014-11-08,8,Overground,11.00
2014-11-09,2014-12-06,9,Overground,11.20
2014-12-07,2015-01-03,10,Overground,8.70
2015-01-04,2015-01-31,11,Overground,11.40
2015-02-01,2015-02-28,12,Overground,11.10
2015-03-01,2015-03-31,13,Overground,12.60
2015-04-01,2015-05-02,1,Overground,13.30
2015-05-03,2015-05-30,2,Overground,11.80
2015-05-31,2015-06-27,3,Overground,14.70
2015-06-28,2015-07-25,4,Overground,14.90
2015-07-26,2015-08-22,5,Overground,13.80
2015-08-23,2015-09-19,6,Overground,13.90
2015-09-20,2015-10-17,7,Overground,15.70
2015-10-18,2015-11-14,8,Overground,15.50
2015-11-15,2015-12-12,9,Overground,15.80
2015-12-13,2016-01-09,10,Overground,11.30
2016-01-10,2016-02-06,11,Overground,15.40
2016-02-07,2016-03-05,12,Overground,14.50
2016-03-06,2016-03-31,13,Overground,12.60
2016-04-01,2016-04-30,1,Overground,15.60
2016-05-01,2016-05-28,2,Overground,14.40
2016-05-29,2016-06-25,3,Overground,13.80
2016-06-26,2016-07-23,4,Overground,14.10
2016-07-24,2016-08-20,5,Overground,13.70
2016-08-21,2016-09-17,6,Overground,14.20
2016-09-18,2016-10-15,7,Overground,15.20
2016-10-16,2016-11-12,8,Overground,15.40
2016-11-13,2016-12-10,9,Overground,15.70
2016-12-11,2017-01-07,10,Overground,12.00
2017-01-08,2017-02-04,11,Overground,14.80
2017-02-05,2017-03-04,12,Overground,14.60
2017-03-05,2017-03-31,13,Overground,15.10
2017-04-01,2017-04-29,1,Overground,14.70
2017-04-30,2017-05-27,2,Overground,14.80
2017-05-28,2017-06-24,3,Overground,14.40
2017-06-25,2017-07-22,4,Overground,15.00
2017-07-23,2017-08-19,5,Overground,14.40
2017-08-20,2017-09-16,6,Overground,14.50
2017-09-17,2017-10-14,7,Overground,15.60
2017-10-15,2017-11-11,8,Overground,15.40
2017-11-12,2017-12-09,9,Overground,15.50
2017-12-10,2018-01-06,10,Overground,11.60
2018-01-07,2018-02-03,11,Overground,14.80
2018-02-04,2018-03-03,12,Overground,14.10
2018-03-04,2018-03-31,13,Overground,15.10
2018-04-01,2018-04-28,1,Overground,14.70
2018-04-29,2018-05-26,2,Overground,14.40
2018-05-27,2018-06-23,3,Overground,14.30
2018-06-24,2018-07-21,4,Overground,14.80
2018-07-22,2018-08-18,5,Overground,14.00
2018-08-19,2018-09-15,6,Overground,14.10
2018-09-16,2018-10-13,7,Overground,15.80
2018-10-14,2018-11-10,8,Overground,15.60
2018-11-11,2018-12-08,9,Overground,15.60
2018-12-09,2019-01-05,10,Overground,11.60
2019-01-06,2019-02-02,11,Overground,14.50
2019-02-03,2019-03-02,12,Overground,14.40
2019-03-03,2019-03-31,13,Overground,15.70
2019-04-01,2019-04-27,1,Overground,13.90
2019-04-28,2019-05-25,2,Overground,14.20
2019-05-26,2019-06-22,3,Overground,13.80
2019-06-23,2019-07-20,4,Overground,14.80
2019-07-21,2019-08-17,5,Overground,12.90
2019-08-18,2019-09-14,6,Overground,13.50
2019-09-15,2019-10-12,7,Overground,17.80
2019-10-13,2019-11-09,8,Overground,17.10
2019-11-10,2019-12-07,9,Overground,15.80
2019-12-08,2020-01-04,10,Overground,10.60
2020-01-05,2020-02-01,11,Overground,14.10
2020-02-02,2020-02-29,12,Overground,15.60
2020-03-01,2020-03-31,13,Overground,13.00
2020-04-01,2020-05-02,1,Overground,1.00
2020-05-03,2020-05-30,2,Overground,1.50
2020-05-31,2020-06-27,3,Overground,2.80
2020-06-28,2020-07-25,4,Overground,4.50
2020-07-26,2020-08-22,5,Overground,4.80
2020-08-23,2020-09-19,6,Overground,6.20
2020-09-20,2020-10-17,7,Overground,8.40
2020-10-18,2020-11-14,8,Overground,6.40
2010-04-01,2010-05-01,1,"Emirates Airline",0.00
2010-05-02,2010-05-29,2,"Emirates Airline",0.00
2010-05-30,2010-06-26,3,"Emirates Airline",0.00
2010-06-27,2010-07-24,4,"Emirates Airline",0.00
2010-07-25,2010-08-21,5,"Emirates Airline",0.00
2010-08-22,2010-09-18,6,"Emirates Airline",0.00
2010-09-19,2010-10-16,7,"Emirates Airline",0.00
2010-10-17,2010-11-13,8,"Emirates Airline",0.00
2010-11-14,2010-12-11,9,"Emirates Airline",0.00
2010-12-12,2011-01-08,10,"Emirates Airline",0.00
2011-01-09,2011-02-05,11,"Emirates Airline",0.00
2011-02-06,2011-03-05,12,"Emirates Airline",0.00
2011-03-06,2011-03-31,13,"Emirates Airline",0.00
2011-04-01,2011-04-30,1,"Emirates Airline",0.00
2011-05-01,2011-05-28,2,"Emirates Airline",0.00
2011-05-29,2011-06-25,3,"Emirates Airline",0.00
2011-06-26,2011-07-23,4,"Emirates Airline",0.00
2011-07-24,2011-08-20,5,"Emirates Airline",0.00
2011-08-21,2011-09-17,6,"Emirates Airline",0.00
2011-09-18,2011-10-15,7,"Emirates Airline",0.00
2011-10-16,2011-11-12,8,"Emirates Airline",0.00
2011-11-13,2011-12-10,9,"Emirates Airline",0.00
2011-12-11,2012-01-07,10,"Emirates Airline",0.00
2012-01-08,2012-02-04,11,"Emirates Airline",0.00
2012-02-05,2012-03-03,12,"Emirates Airline",0.00
2012-03-04,2012-03-31,13,"Emirates Airline",0.00
2012-04-01,2012-04-28,1,"Emirates Airline",0.00
2012-04-29,2012-05-26,2,"Emirates Airline",0.00
2012-05-27,2012-06-23,3,"Emirates Airline",0.00
2012-06-24,2012-07-21,4,"Emirates Airline",0.24
2012-07-22,2012-08-18,5,"Emirates Airline",0.53
2012-08-19,2012-09-15,6,"Emirates Airline",0.38
2012-09-16,2012-10-13,7,"Emirates Airline",0.16
2012-10-14,2012-11-10,8,"Emirates Airline",0.18
2012-11-11,2012-12-08,9,"Emirates Airline",0.12
2012-12-09,2013-01-05,10,"Emirates Airline",0.11
2013-01-06,2013-02-02,11,"Emirates Airline",0.07
2013-02-03,2013-03-02,12,"Emirates Airline",0.12
2013-03-03,2013-03-31,13,"Emirates Airline",0.07
2013-04-01,2013-04-27,1,"Emirates Airline",0.14
2013-04-28,2013-05-25,2,"Emirates Airline",0.13
2013-05-26,2013-06-22,3,"Emirates Airline",0.14
2013-06-23,2013-07-20,4,"Emirates Airline",0.15
2013-07-21,2013-08-17,5,"Emirates Airline",0.19
2013-08-18,2013-09-14,6,"Emirates Airline",0.17
2013-09-15,2013-10-12,7,"Emirates Airline",0.10
2013-10-13,2013-11-09,8,"Emirates Airline",0.10
2013-11-10,2013-12-07,9,"Emirates Airline",0.08
2013-12-08,2014-01-04,10,"Emirates Airline",0.07
2014-01-05,2014-02-01,11,"Emirates Airline",0.07
2014-02-02,2014-03-01,12,"Emirates Airline",0.08
2014-03-02,2014-03-31,13,"Emirates Airline",0.09
2014-04-01,2014-04-26,1,"Emirates Airline",0.14
2014-04-27,2014-05-24,2,"Emirates Airline",0.11
2014-05-25,2014-06-21,3,"Emirates Airline",0.13
2014-06-22,2014-07-19,4,"Emirates Airline",0.12
2014-07-20,2014-08-16,5,"Emirates Airline",0.18
2014-08-17,2014-09-13,6,"Emirates Airline",0.17
2014-09-14,2014-10-11,7,"Emirates Airline",0.11
2014-10-12,2014-11-08,8,"Emirates Airline",0.13
2014-11-09,2014-12-06,9,"Emirates Airline",0.09
2014-12-07,2015-01-03,10,"Emirates Airline",0.09
2015-01-04,2015-01-31,11,"Emirates Airline",0.07
2015-02-01,2015-02-28,12,"Emirates Airline",0.12
2015-03-01,2015-03-31,13,"Emirates Airline",0.07
2015-04-01,2015-05-02,1,"Emirates Airline",0.16
2015-05-03,2015-05-30,2,"Emirates Airline",0.15
2015-05-31,2015-06-27,3,"Emirates Airline",0.12
2015-06-28,2015-07-25,4,"Emirates Airline",0.15
2015-07-26,2015-08-22,5,"Emirates Airline",0.19
2015-08-23,2015-09-19,6,"Emirates Airline",0.12
2015-09-20,2015-10-17,7,"Emirates Airline",0.12
2015-10-18,2015-11-14,8,"Emirates Airline",0.14
2015-11-15,2015-12-12,9,"Emirates Airline",0.05
2015-12-13,2016-01-09,10,"Emirates Airline",0.08
2016-01-10,2016-02-06,11,"Emirates Airline",0.07
2016-02-07,2016-03-05,12,"Emirates Airline",0.11
2016-03-06,2016-03-31,13,"Emirates Airline",0.08
2016-04-01,2016-04-30,1,"Emirates Airline",0.14
2016-05-01,2016-05-28,2,"Emirates Airline",0.13
2016-05-29,2016-06-25,3,"Emirates Airline",0.11
2016-06-26,2016-07-23,4,"Emirates Airline",0.13
2016-07-24,2016-08-20,5,"Emirates Airline",0.18
2016-08-21,2016-09-17,6,"Emirates Airline",0.14
2016-09-18,2016-10-15,7,"Emirates Airline",0.10
2016-10-16,2016-11-12,8,"Emirates Airline",0.12
2016-11-13,2016-12-10,9,"Emirates Airline",0.08
2016-12-11,2017-01-07,10,"Emirates Airline",0.09
2017-01-08,2017-02-04,11,"Emirates Airline",0.08
2017-02-05,2017-03-04,12,"Emirates Airline",0.11
2017-03-05,2017-03-31,13,"Emirates Airline",0.07
2017-04-01,2017-04-29,1,"Emirates Airline",0.16
2017-04-30,2017-05-27,2,"Emirates Airline",0.11
2017-05-28,2017-06-24,3,"Emirates Airline",0.11
2017-06-25,2017-07-22,4,"Emirates Airline",0.13
2017-07-23,2017-08-19,5,"Emirates Airline",0.18
2017-08-20,2017-09-16,6,"Emirates Airline",0.12
2017-09-17,2017-10-14,7,"Emirates Airline",0.10
2017-10-15,2017-11-11,8,"Emirates Airline",0.11
2017-11-12,2017-12-09,9,"Emirates Airline",0.08
2017-12-10,2018-01-06,10,"Emirates Airline",0.06
2018-01-07,2018-02-03,11,"Emirates Airline",0.07
2018-02-04,2018-03-03,12,"Emirates Airline",0.09
2018-03-04,2018-03-31,13,"Emirates Airline",0.06
2018-04-01,2018-04-28,1,"Emirates Airline",0.12
2018-04-29,2018-05-26,2,"Emirates Airline",0.11
2018-05-27,2018-06-23,3,"Emirates Airline",0.11
2018-06-24,2018-07-21,4,"Emirates Airline",0.12
2018-07-22,2018-08-18,5,"Emirates Airline",0.16
2018-08-19,2018-09-15,6,"Emirates Airline",0.12
2018-09-16,2018-10-13,7,"Emirates Airline",0.09
2018-10-14,2018-11-10,8,"Emirates Airline",0.12
2018-11-11,2018-12-08,9,"Emirates Airline",0.07
2018-12-09,2019-01-05,10,"Emirates Airline",0.09
2019-01-06,2019-02-02,11,"Emirates Airline",0.06
2019-02-03,2019-03-02,12,"Emirates Airline",0.10
2019-03-03,2019-03-31,13,"Emirates Airline",0.06
2019-04-01,2019-04-27,1,"Emirates Airline",0.11
2019-04-28,2019-05-25,2,"Emirates Airline",0.10
2019-05-26,2019-06-22,3,"Emirates Airline",0.11
2019-06-23,2019-07-20,4,"Emirates Airline",0.11
2019-07-21,2019-08-17,5,"Emirates Airline",0.14
2019-08-18,2019-09-14,6,"Emirates Airline",0.13
2019-09-15,2019-10-12,7,"Emirates Airline",0.09
2019-10-13,2019-11-09,8,"Emirates Airline",0.10
2019-11-10,2019-12-07,9,"Emirates Airline",0.08
2019-12-08,2020-01-04,10,"Emirates Airline",0.09
2020-01-05,2020-02-01,11,"Emirates Airline",0.06
2020-02-02,2020-02-29,12,"Emirates Airline",0.06
2020-03-01,2020-03-31,13,"Emirates Airline",0.01
2020-04-01,2020-05-02,1,"Emirates Airline",0.00
2020-05-03,2020-05-30,2,"Emirates Airline",0.00
2020-05-31,2020-06-27,3,"Emirates Airline",0.00
2020-06-28,2020-07-25,4,"Emirates Airline",0.00
2020-07-26,2020-08-22,5,"Emirates Airline",0.10
2020-08-23,2020-09-19,6,"Emirates Airline",0.10
2020-09-20,2020-10-17,7,"Emirates Airline",0.00
2020-10-18,2020-11-14,8,"Emirates Airline",0.00
2010-04-01,2010-05-01,1,"TfL Rail",0.00
2010-05-02,2010-05-29,2,"TfL Rail",0.00
2010-05-30,2010-06-26,3,"TfL Rail",0.00
2010-06-27,2010-07-24,4,"TfL Rail",0.00
2010-07-25,2010-08-21,5,"TfL Rail",0.00
2010-08-22,2010-09-18,6,"TfL Rail",0.00
2010-09-19,2010-10-16,7,"TfL Rail",0.00
2010-10-17,2010-11-13,8,"TfL Rail",0.00
2010-11-14,2010-12-11,9,"TfL Rail",0.00
2010-12-12,2011-01-08,10,"TfL Rail",0.00
2011-01-09,2011-02-05,11,"TfL Rail",0.00
2011-02-06,2011-03-05,12,"TfL Rail",0.00
2011-03-06,2011-03-31,13,"TfL Rail",0.00
2011-04-01,2011-04-30,1,"TfL Rail",0.00
2011-05-01,2011-05-28,2,"TfL Rail",0.00
2011-05-29,2011-06-25,3,"TfL Rail",0.00
2011-06-26,2011-07-23,4,"TfL Rail",0.00
2011-07-24,2011-08-20,5,"TfL Rail",0.00
2011-08-21,2011-09-17,6,"TfL Rail",0.00
2011-09-18,2011-10-15,7,"TfL Rail",0.00
2011-10-16,2011-11-12,8,"TfL Rail",0.00
2011-11-13,2011-12-10,9,"TfL Rail",0.00
2011-12-11,2012-01-07,10,"TfL Rail",0.00
2012-01-08,2012-02-04,11,"TfL Rail",0.00
2012-02-05,2012-03-03,12,"TfL Rail",0.00
2012-03-04,2012-03-31,13,"TfL Rail",0.00
2012-04-01,2012-04-28,1,"TfL Rail",0.00
2012-04-29,2012-05-26,2,"TfL Rail",0.00
2012-05-27,2012-06-23,3,"TfL Rail",0.00
2012-06-24,2012-07-21,4,"TfL Rail",0.00
2012-07-22,2012-08-18,5,"TfL Rail",0.00
2012-08-19,2012-09-15,6,"TfL Rail",0.00
2012-09-16,2012-10-13,7,"TfL Rail",0.00
2012-10-14,2012-11-10,8,"TfL Rail",0.00
2012-11-11,2012-12-08,9,"TfL Rail",0.00
2012-12-09,2013-01-05,10,"TfL Rail",0.00
2013-01-06,2013-02-02,11,"TfL Rail",0.00
2013-02-03,2013-03-02,12,"TfL Rail",0.00
2013-03-03,2013-03-31,13,"TfL Rail",0.00
2013-04-01,2013-04-27,1,"TfL Rail",0.00
2013-04-28,2013-05-25,2,"TfL Rail",0.00
2013-05-26,2013-06-22,3,"TfL Rail",0.00
2013-06-23,2013-07-20,4,"TfL Rail",0.00
2013-07-21,2013-08-17,5,"TfL Rail",0.00
2013-08-18,2013-09-14,6,"TfL Rail",0.00
2013-09-15,2013-10-12,7,"TfL Rail",0.00
2013-10-13,2013-11-09,8,"TfL Rail",0.00
2013-11-10,2013-12-07,9,"TfL Rail",0.00
2013-12-08,2014-01-04,10,"TfL Rail",0.00
2014-01-05,2014-02-01,11,"TfL Rail",0.00
2014-02-02,2014-03-01,12,"TfL Rail",0.00
2014-03-02,2014-03-31,13,"TfL Rail",0.00
2014-04-01,2014-04-26,1,"TfL Rail",2.90
2014-04-27,2014-05-24,2,"TfL Rail",0.00
2014-05-25,2014-06-21,3,"TfL Rail",0.00
2014-06-22,2014-07-19,4,"TfL Rail",0.00
2014-07-20,2014-08-16,5,"TfL Rail",0.00
2014-08-17,2014-09-13,6,"TfL Rail",0.00
2014-09-14,2014-10-11,7,"TfL Rail",0.00
2014-10-12,2014-11-08,8,"TfL Rail",0.00
2014-11-09,2014-12-06,9,"TfL Rail",0.00
2014-12-07,2015-01-03,10,"TfL Rail",0.00
2015-01-04,2015-01-31,11,"TfL Rail",0.00
2015-02-01,2015-02-28,12,"TfL Rail",0.00
2015-03-01,2015-03-31,13,"TfL Rail",0.00
2015-04-01,2015-05-02,1,"TfL Rail",0.00
2015-05-03,2015-05-30,2,"TfL Rail",0.00
2015-05-31,2015-06-27,3,"TfL Rail",3.60
2015-06-28,2015-07-25,4,"TfL Rail",3.80
2015-07-26,2015-08-22,5,"TfL Rail",3.70
2015-08-23,2015-09-19,6,"TfL Rail",3.70
2015-09-20,2015-10-17,7,"TfL Rail",4.10
2015-10-18,2015-11-14,8,"TfL Rail",4.20
2015-11-15,2015-12-12,9,"TfL Rail",4.20
2015-12-13,2016-01-09,10,"TfL Rail",3.00
2016-01-10,2016-02-06,11,"TfL Rail",3.80
2016-02-07,2016-03-05,12,"TfL Rail",3.20
2016-03-06,2016-03-31,13,"TfL Rail",2.80
2016-04-01,2016-04-30,1,"TfL Rail",4.00
2016-05-01,2016-05-28,2,"TfL Rail",3.70
2016-05-29,2016-06-25,3,"TfL Rail",3.50
2016-06-26,2016-07-23,4,"TfL Rail",3.80
2016-07-24,2016-08-20,5,"TfL Rail",3.60
2016-08-21,2016-09-17,6,"TfL Rail",3.50
2016-09-18,2016-10-15,7,"TfL Rail",3.70
2016-10-16,2016-11-12,8,"TfL Rail",3.80
2016-11-13,2016-12-10,9,"TfL Rail",4.00
2016-12-11,2017-01-07,10,"TfL Rail",3.30
2017-01-08,2017-02-04,11,"TfL Rail",3.80
2017-02-05,2017-03-04,12,"TfL Rail",3.60
2017-03-05,2017-03-31,13,"TfL Rail",3.40
2017-04-01,2017-04-29,1,"TfL Rail",3.30
2017-04-30,2017-05-27,2,"TfL Rail",3.50
2017-05-28,2017-06-24,3,"TfL Rail",3.40
2017-06-25,2017-07-22,4,"TfL Rail",3.70
2017-07-23,2017-08-19,5,"TfL Rail",3.50
2017-08-20,2017-09-16,6,"TfL Rail",3.30
2017-09-17,2017-10-14,7,"TfL Rail",3.80
2017-10-15,2017-11-11,8,"TfL Rail",3.70
2017-11-12,2017-12-09,9,"TfL Rail",3.90
2017-12-10,2018-01-06,10,"TfL Rail",2.90
2018-01-07,2018-02-03,11,"TfL Rail",3.70
2018-02-04,2018-03-03,12,"TfL Rail",3.40
2018-03-04,2018-03-31,13,"TfL Rail",3.30
2018-04-01,2018-04-28,1,"TfL Rail",3.50
2018-04-29,2018-05-26,2,"TfL Rail",3.70
2018-05-27,2018-06-23,3,"TfL Rail",4.20
2018-06-24,2018-07-21,4,"TfL Rail",4.50
2018-07-22,2018-08-18,5,"TfL Rail",4.10
2018-08-19,2018-09-15,6,"TfL Rail",4.10
2018-09-16,2018-10-13,7,"TfL Rail",4.70
2018-10-14,2018-11-10,8,"TfL Rail",4.70
2018-11-11,2018-12-08,9,"TfL Rail",4.60
2018-12-09,2019-01-05,10,"TfL Rail",3.90
2019-01-06,2019-02-02,11,"TfL Rail",4.60
2019-02-03,2019-03-02,12,"TfL Rail",4.40
2019-03-03,2019-03-31,13,"TfL Rail",4.30
2019-04-01,2019-04-27,1,"TfL Rail",4.30
2019-04-28,2019-05-25,2,"TfL Rail",4.50
2019-05-26,2019-06-22,3,"TfL Rail",4.40
2019-06-23,2019-07-20,4,"TfL Rail",4.60
2019-07-21,2019-08-17,5,"TfL Rail",4.30
2019-08-18,2019-09-14,6,"TfL Rail",4.30
2019-09-15,2019-10-12,7,"TfL Rail",4.90
2019-10-13,2019-11-09,8,"TfL Rail",4.90
2019-11-10,2019-12-07,9,"TfL Rail",5.00
2019-12-08,2020-01-04,10,"TfL Rail",4.30
2020-01-05,2020-02-01,11,"TfL Rail",5.70
2020-02-02,2020-02-29,12,"TfL Rail",5.20
2020-03-01,2020-03-31,13,"TfL Rail",3.50
2020-04-01,2020-05-02,1,"TfL Rail",0.60
2020-05-03,2020-05-30,2,"TfL Rail",0.70
2020-05-31,2020-06-27,3,"TfL Rail",1.20
2020-06-28,2020-07-25,4,"TfL Rail",1.60
2020-07-26,2020-08-22,5,"TfL Rail",2.00
2020-08-23,2020-09-19,6,"TfL Rail",2.20
2020-09-20,2020-10-17,7,"TfL Rail",2.50
2020-10-18,2020-11-14,8,"TfL Rail",2.10
