,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?
348,5150,NEW CROSS,,,,,,,,,,,2784006,2660707,2655302,1492538,1532792,London Overground,,,,Yes,,No
349,5301,CLAPHAM HIGH STREET,,,,,,,,,,,2248857,2192193,2260168,936152,1231647,London Overground,,,,Yes,,No
350,5345,NEW CROSS GATE,,,,,,,,,,,6886621,5850998,5606001,2076254,2724966,London Overground,,,,Yes,,Yes
351,5356,CRYSTAL PALACE,,,,,,,,,,,2058418,2094773,2000025,1455238,1667100,London Overground,,,,Yes,,No
352,5362,FOREST HILL,,,,,,,,,,,3491388,3354862,3366957,1202543,1701565,London Overground,,,,Yes,,No
353,5372,WANDSWORTH ROAD,,,,,,,,,,,857961,837919,852193,393435,455293,London Overground,,,,Yes,,No
354,5376,NORWOOD JUNCTION,,,,,,,,,,,1475831,1447591,1568093,749301,886919,London Overground,,,,Yes,,No
355,5378,PENGE WEST,,,,,,,,,,,1038116,813443,842354,359406,572881,London Overground,,,,Yes,,No
356,5397,ANERLEY,,,,,,,,,,,1141012,1220020,1264544,558737,821918,London Overground,,,,Yes,,No
357,5404,BROCKLEY,,,,,,,,,,,4377054,4254718,4280207,1633785,2280512,London Overground,,,,Yes,,No
358,5411,WEST CROYDON NR,,,,,,,,,,,3259957,3772252,3594643,2289241,2293962,London Overground,,,,Yes,,No
359,5418,HONOR OAK PARK,,,,,,,,,,,3133342,3114594,3194783,1069321,1640297,London Overground,,,,Yes,,No
360,5420,BATTERSEA PARK,,,,,,,,,,,10383,10910,12154,10748,6842,London Overground,,,,Yes,,No
361,5421,DENMARK HILL,,,,,,,,,,,7709693,7382684,7990260,3742004,4447266,London Overground,,,,Yes,,No
362,5423,PECKHAM RYE,,,,,,,,,,,4084899,4113512,4200052,1518905,2241738,London Overground,,,,Yes,,No
363,5424,QUEENS ROAD PECKHAM,,,,,,,,,,,1962509,2084056,2120306,942423,1158467,London Overground,,,,Yes,,No
364,5437,SYDENHAM,,,,,,,,,,,2974643,2907347,2962757,1100736,1456686,London Overground,,,,Yes,,No
365,5595,CLAPHAM JUNCTION,,,,,,,,,,,14788770,14878382,14773995,9994169,10438622,London Overground,,,,Yes,,No
366,6814,CHESHUNT,,,,,,,,,,,453708,437039,459470,198951,340289,London Overground,,,,Yes,,No
367,6867,HACKNEY DOWNS,,,,,,,,,,,3347992,3334586,3480439,1715892,2128124,London Overground,,,,Yes,,No
368,6872,BRENTWOOD,,,,,,,,,,,2910274,2971409,2430028,1168543,1390728,TfL Rail,,,Yes,,,No
369,6874,CHADWELL HEATH,,,,,,,,,,,4000605,3855694,4402503,2469914,2396450,TfL Rail,,,Yes,,,No
370,6876,FOREST GATE,,,,,,,,,,,2956428,3236484,3931741,2488244,2548489,TfL Rail,,,Yes,,,No
371,6877,GIDEA PARK,,,,,,,,,,,2393978,2717776,3091264,1273342,1533725,TfL Rail,,,Yes,,,No
372,6878,GOODMAYES,,,,,,,,,,,3481761,3445071,3969489,2290994,2145176,TfL Rail,,,Yes,,,No
373,6879,HAROLD WOOD,,,,,,,,,,,2495901,2752817,3102641,1573665,1760138,TfL Rail,,,Yes,,,No
374,6881,ILFORD,,,,,,,,,,,7987556,7653644,8343355,3930054,4106402,TfL Rail,,,Yes,,,No
375,6883,MANOR PARK,,,,,,,,,,,2120086,1980072,2762719,1687629,1781334,TfL Rail,,,Yes,,,No
376,6886,ROMFORD,,,,,,,,,,,8484992,7891190,9522899,4569696,5920159,"London Overground, TfL Rail",,,Yes,Yes,,No
377,6888,SHENFIELD,,,,,,,,,,,1724799,1593139,1857641,1365424,1493660,TfL Rail,,,Yes,,,No
378,6893,SEVEN KINGS,,,,,,,,,,,3030081,3133514,3519698,2087123,2046889,TfL Rail,,,Yes,,,No
379,6913,BUSH HILL PARK,,,,,,,,,,,1204935,1257096,1416560,508104,753674,London Overground,,,,Yes,,No
380,6914,CHINGFORD,,,,,,,,,,,2084007,2123980,2215460,999111,1279317,London Overground,,,,Yes,,No
381,6919,HIGHAMS PARK,,,,,,,,,,,2308794,2801865,2900832,1215998,1735398,London Overground,,,,Yes,,No
382,6926,CLAPTON,,,,,,,,,,,1776056,1879898,1900867,905095,1157488,London Overground,,,,Yes,,No
383,6934,STOKE NEWINGTON,,,,,,,,,,,1545265,1446191,1607495,715508,1176525,London Overground,,,,Yes,,No
384,6941,EDMONTON GREEN,,,,,,,,,,,3709925,3568143,4058791,2105087,2348713,London Overground,,,,Yes,,No
385,6947,SOUTHBURY,,,,,,,,,,,1271810,1138676,1175370,615296,693974,London Overground,,,,Yes,,No
386,6949,THEOBALDS GROVE,,,,,,,,,,,743156,734754,770253,392947,466660,London Overground,,,,Yes,,No
387,6952,TURKEY STREET,,,,,,,,,,,1287754,1235516,1269753,623317,671342,London Overground,,,,Yes,,No
388,6954,WOOD STREET,,,,,,,,,,,1422045,1781513,1862285,947291,1242080,London Overground,,,,Yes,,No
389,6956,WHITE HART LANE,,,,,,,,,,,2264604,2358599,1885627,1027468,1161269,London Overground,,,,Yes,,No
390,6958,BRUCE GROVE,,,,,,,,,,,1580400,1564321,1782467,936661,1378067,London Overground,,,,Yes,,No
391,6959,ENFIELD TOWN,,,,,,,,,,,2388070,2441874,2461521,1058812,1437473,London Overground,,,,Yes,,No
392,6961,BETHNAL GREEN LO,,,,,,,,,,,1364618,1357219,1352754,891335,1047192,London Overground,,,,Yes,,No
393,6962,CAMBRIDGE HEATH,,,,,,,,,,,980935,997132,1115133,516410,889589,London Overground,,,,Yes,,No
394,6965,LIVERPOOL STREET NR,,,,,,,,,,,28427447,29893382,32248118,12114962,16460908,TfL Rail,,,Yes,,,No
395,6966,LONDON FIELDS,,,,,,,,,,,1784175,1791071,2050471,787176,1188188,London Overground,,,,Yes,,No
396,6967,RECTORY ROAD,,,,,,,,,,,1181806,1095421,1161046,468783,869834,London Overground,,,,Yes,,No
397,6968,STAMFORD HILL,,,,,,,,,,,987086,948856,1028322,637758,695033,London Overground,,,,Yes,,No
398,6970,MARYLAND,,,,,,,,,,,1283840,1108395,1556190,1080904,1316546,TfL Rail,,,Yes,,,No
399,6972,SILVER STREET,,,,,,,,,,,2498643,2560391,2896057,1589687,1682406,London Overground,,,,Yes,,No
400,6973,ST JAMES STREET,,,,,,,,,,,1133828,1283744,1331099,719781,893897,London Overground,,,,Yes,,No
401,6977,HACKNEY CENTRAL,,,,,,,,,,,6639640,7269623,7355336,3074965,3873150,London Overground,,,,Yes,,No
402,6978,HACKNEY WICK,,,,,,,,,,,2027072,1296778,2865480,1294674,2034502,London Overground,,,,Yes,,No
403,6979,HOMERTON,,,,,,,,,,,4916632,5070913,5106067,2563827,3004286,London Overground,,,,Yes,,No
404,7401,HARRINGAY GREEN LANES,,,,,,,,,,,934235,1228323,1342722,1043961,976641,London Overground,,,,Yes,,No
405,7402,LEYTON MIDLAND ROAD,,,,,,,,,,,1502699,1346936,1441735,1112804,997076,London Overground,,,,Yes,,No
406,7403,LEYTONSTONE HIGH ROAD,,,,,,,,,,,1107993,970484,1018773,742928,721287,London Overground,,,,Yes,,No
407,7404,SOUTH TOTTENHAM,,,,,,,,,,,1342130,1578273,1269078,1156264,950085,London Overground,,,,Yes,,No
408,7406,CROUCH HILL,,,,,,,,,,,719487,945139,942814,733856,727117,London Overground,,,,Yes,,No
409,7407,WALTHAMSTOW QUEEN'S ROAD,,,,,,,,,,,1602249,2007298,2342011,969517,877303,London Overground,,,,Yes,,No
410,7408,WANSTEAD PARK,,,,,,,,,,,1060998,1110917,1195337,996649,890743,London Overground,,,,Yes,,No
411,7467,WOODGRANGE PARK,,,,,,,,,,,962973,891843,898106,778844,631946,London Overground,,,,Yes,,No
412,7473,EMERSON PARK,,,,,,,,,,,275227,282798,322550,119939,183964,London Overground,,,,Yes,,No
413,9586,IMPERIAL WHARF,,,,,,,,,,,3307690,3151525,3022704,1547700,2061276,London Overground,,,,Yes,,No
414,9587,SHEPHERD'S BUSH NR,,,,,,,,,,,8458803,8230210,8312280,2900189,4551302,London Overground,,,,Yes,,No
415,3000,ACTON MAIN LINE,,,,,,,,,,,,300026,381479,178777,316257,TfL Rail,,,Yes,,,No
416,3087,PADDINGTON NR,,,,,,,,,,,,4086849,4722949,5977071,8513238,TfL Rail,,,Yes,,,No
417,3186,HAYES & HARLINGTON,,,,,,,,,,,,2246986,2546115,1147933,1620176,London Overground,,,,Yes,,No
418,3186,HAYES & HARLINGTON,,,,,,,,,,,,2246986,2546115,1147933,1620176,TfL Rail,,,Yes,,,No
419,3187,SOUTHALL,,,,,,,,,,,,1723747,2563229,1429088,2294079,TfL Rail,,,Yes,,,No
420,3188,WEST EALING,,,,,,,,,,,,1215358,1487684,663903,908453,TfL Rail,,,Yes,,,No
421,3191,HANWELL,,,,,,,,,,,,364993,675795,387664,576380,TfL Rail,,,Yes,,,No
422,7090,HEATHROW TERMINALS 2 & 3 EL,,,,,,,,,,,,1436239,1664708,129339,723162,TfL Rail,,,Yes,,,No
423,7091,HEATHROW TERMINAL 4 EL,,,,,,,,,,,,1420311,1426266,0,0,TfL Rail,,,Yes,,,No
424,3147,MAIDENHEAD,,,,,,,,,,,,,,102141,1964707,TfL Rail,,,Yes,,,No
425,3149,READING,,,,,,,,,,,,,,1211829,1544095,TfL Rail,,,Yes,,,No
426,3151,TAPLOW,,,,,,,,,,,,,,20878,266945,TfL Rail,,,Yes,,,No
427,3155,TWYFORD,,,,,,,,,,,,,,13407,837725,TfL Rail,,,Yes,,,No
428,3170,IVER,,,,,,,,,,,,,,43002,182117,TfL Rail,,,Yes,,,No
429,3171,LANGLEY,,,,,,,,,,,,,,81604,565434,TfL Rail,,,Yes,,,No
430,3172,SLOUGH,,,,,,,,,,,,,,234410,2170889,TfL Rail,,,Yes,,,No
431,3174,WEST DRAYTON,,,,,,,,,,,,,,1104778,1361605,TfL Rail,,,Yes,,,No
432,3176,BURNHAM,,,,,,,,,,,,,,106258,894325,TfL Rail,,,Yes,,,No
433,9846,HEATHROW TERMINAL 5 EL,,,,,,,,,,,,,,668011,260928,TfL Rail,,,Yes,,,No
434,831,NINE ELMS,,,,,,,,,,,,,,,1163116,Northern,London Underground,Yes,,,,No
435,832,BATTERSEA POWER STATION,,,,,,,,,,,,,,,2177911,Northern,London Underground,Yes,,,,No
